Institution,Rank,Class,Country,Size,Academic,Employer,Faculty student,IRN,Citations per paper,Papers per faculty,Staff with PhD,International faculty,International students,Inbound,Outbound
The University of Lampung,701-710,B,Indonesia,L,48.2,17.6,13.3,18.3,1.7,7.2,14,2,1.5,2.1,3.6
Tunku Abdul Rahman University of Management and Technology (TAR UMT),701-710,B,Malaysia,L,22.9,35.9,44.2,17.8,8.8,3.3,6.8,1.1,5.5,5.4,24.8
Thaksin University,711-720,B,Thailand,L,24.8,9.3,40.7,28.1,22.3,2.6,8.3,4.6,1.8,89.2,43.2
Yangon University,711-720,B,Myanmar,M,14.1,27.7,84.2,26,14.5,1.6,,,,1,1
Ho Chi Minh City Open University,721-730,B,Viet Nam,L,9.9,23.8,4.2,54.6,47,7.5,31.4,50.3,1.8,12,3.7
Mahasarakham University,721-730,B,Thailand,XL,35.2,10.7,5.3,36.7,3,9.1,60.8,22.4,12.3,4.1,15.2
Universitas Negeri Padang,721-730,B,Indonesia,XL,36.3,9.8,41.6,22.7,1.4,3.4,4.9,40.5,6,10.6,27.6
Mindanao State University - Iligan Institute of Technology,731-740,B,Philippines,L,36.3,20.9,14.4,33.1,4,7.6,15.3,5.2,1.4,3.4,10.1
Perdana University,741-750,B,Malaysia,S,5.6,5,100,23.9,61.1,7.2,,,,1,1
Universitas Muhammadiyah Surakarta,741-750,B,Indonesia,L,35.5,17.6,20.1,31,1.7,5.1,7.2,25.4,2.1,22.6,9.1
Far Eastern University,761-770,B,Philippines,L,26.4,45.4,6.6,23.4,4.1,3.2,7.6,4.3,,3.2,9.6
HELP University,761-770,B,Malaysia,S,14.2,40.9,18.6,6.8,2.7,4.4,11.7,32.9,66,45,69.9
Universitas Trisakti (USAKTI),771-780,B,Indonesia,M,31.1,22.1,40.8,14.4,1.3,6.1,19.2,7.4,2.2,2.6,2.6
Vietnam National University of Agriculture,781-790,B,Viet Nam,L,21.3,19.6,21.7,40.9,38.7,4.2,,,,1,1.1
Al-Madinah International University,791-800,B,Malaysia,S,14.8,8.3,30,20.3,5,13.3,61.3,100,100,5.4,1
Universitas Tarumanagara,791-800,B,Indonesia,M,25.8,22.4,22.1,4.2,1.4,4.7,9.4,23.5,2.3,73.1,91.8
Bangkok University,801-850,B,Thailand,XL,28.6,24,3.2,15.5,12.1,2.3,9.8,21.7,32.3,41.8,18.4
Hanoi National University of Education,801-850,B,Viet Nam,L,20,20.5,12.7,38.3,6.8,7.4,57.6,3.1,4,2.3,1.8
Syarif Hidayatullah State Islamic University Jakarta,801-850,B,Indonesia,XL,26.7,17.7,8.3,49,2.9,4.9,20.8,6.4,4.3,9.4,11.3
Universitas Atma Jaya Yogyakarta,801-850,B,Indonesia,M,25.6,27.2,6.8,19.4,9.7,8.5,16.6,13.4,1.7,42.4,2.6
University of Mataram,801-850,B,Indonesia,XL,43.3,9.9,11.6,21.6,1.8,4.1,16.8,3.4,1.5,5.4,2.3
University of Muhammadiyah Malang,801-850,B,Indonesia,XL,29.3,24.6,3.3,37.6,2.6,6.7,10.7,25.6,1.3,5.5,2.2
Ateneo de Davao University,851-900,B,Philippines,L,28.2,37.3,21.1,3.3,,1.4,,,,1,1
Parahyangan Catholic University,851-900,B,Indonesia,M,23.1,30.2,11.5,25.2,4.5,6.3,22.5,2.2,2.1,11.1,5.7
Siam University,851-900,B,Thailand,M,21.1,19.5,22.2,1.5,3.4,2.4,12.4,37.3,87.4,99,2
Ubon Ratchathani University,851-900,B,Thailand,L,16.5,11.9,10.3,33.4,32.8,6.4,56.2,10.7,2,1,1
Ho Chi Minh City University of Technology and Education,901-950,B,Viet Nam,XL,14.9,22.4,6,56.5,8.8,13.5,17.8,1.8,1.2,1.2,1.1
"Nilai University, Malaysia",901-950,B,Malaysia,S,9.5,20.9,68.9,,,3.8,14.2,10.8,100,8.8,1
Universitas Ahmad Dahlan,901-950,B,Indonesia,L,25.2,10.7,8.9,39.8,2.4,10,11.9,28.3,9.3,28,8.4
Universitas Ciputra Surabaya,901-950,B,Indonesia,M,19.8,13.8,15.6,3.9,2.4,2.6,6.4,72.6,20,76.8,93.2
Universitas Negeri Semarang,901-950,B,Indonesia,XL,33.6,16.3,8.1,24.1,1.5,5.8,8.6,9.4,1.8,10.6,6.7
Limkokwing University of Creative Technology,951-1000,B,Malaysia,M,10.1,28.6,3.3,2.8,15.2,,1.7,50.9,99.7,1,64.6
Nong Lam University Ho Chi Minh City,951-1000,B,Viet Nam,L,7.3,12.1,4,47.4,63,5.7,9.4,4.4,1.3,1,8.4
Phenikaa University,951-1000,B,Viet Nam,L,5.1,8.1,7.1,74.5,52,10.4,,,,1,1.1
Saint Louis University (Philippines),951-1000,B,Philippines,L,30.1,26.3,3.8,5.7,1.5,1.9,5.2,3.9,3.9,4.4,2.1
The University of Jember,951-1000,B,Indonesia,XL,23.6,22.1,5,28.4,1.8,11.1,2.7,11.7,1.3,12,4.3
Universitas Negeri Jakarta,951-1000,B,Indonesia,L,26.7,15.9,8.9,19.5,1.6,9.9,20,1.4,1.6,2.6,11.2
University of the Thai Chamber of Commerce (UTCC),951-1000,B,Thailand,L,13.8,11.6,6.8,1.7,11.9,1.6,21.7,77.4,62.7,98.5,60.9
Xavier University ,951-1000,B,Philippines,M,26.7,32.8,11.5,,,1.5,4.3,1.1,1.9,1.1,1
Central Luzon State University,1001-1100,B,Philippines,L,23,15.8,10.5,22.6,4.6,3.7,10.2,4.5,1.2,1,1
Central Mindanao University,1001-1100,B,Philippines,L,24.9,17.2,7.3,20.5,5.1,2.5,9.5,,1,1,1
Huachiew Chalermprakiet University,1001-1100,B,Thailand,M,6.1,1.8,49.4,8.5,6.9,1.7,6,14.6,63,100,95.6
Jenderal Soedirman University,1001-1100,B,Indonesia,L,19.9,24.2,7,24.4,1.7,10.3,,,1.4,1,1
Lyceum of the Philippines University,1001-1100,B,Philippines,L,27.2,23.3,4.9,3.5,1.6,1.8,2.8,2.2,24.4,1.3,1.5
Maranatha Christian University,1001-1100,B,Indonesia,M,15.4,13,25.9,36.9,1.9,5.8,9.6,7,1.8,5.2,6
Mindanao State University ,1001-1100,B,Philippines,XL,31.5,18.5,4.4,10.3,3.2,,,,,1,1
Rajamangala University of Technology Thanyaburi (RMUTT),1001-1100,B,Thailand,L,13.3,8.2,13.3,38.1,6.6,6.8,22.6,3.5,3.5,19.3,69.4
Sriwijaya University,1001-1100,B,Indonesia,L,25.1,23.7,4.3,23.8,1.9,4.1,,,,1,1
Thuyloi University,1001-1100,B,Viet Nam,L,9.6,,4.6,48.9,38.9,10.2,47.2,9.5,2.6,5.5,3.4
UNITAR International University,1001-1100,B,Malaysia,M,26.9,8.7,12.6,15.2,3.4,3.3,7.9,20.2,16.9,1,1
Universitas Islam Negeri Sunan Kalijaga,1001-1100,B,Indonesia,L,11.3,6.9,13.2,26.1,5.2,3.9,34.4,32.3,13.3,88.6,45.9
Universitas Kristen Satya Wacana - Satya Wacana Christian University,1001-1100,B,Indonesia,L,19.2,14,6,7.4,4.9,5.5,18,2.2,1.9,58.1,73.8
Universitas Negeri Surabaya,1001-1100,B,Indonesia,XL,15.1,23.5,6.4,19.6,1.4,5.3,14.5,31.5,2.1,50.8,38.2
Dhurakij Pundit University,1101-1200,B,Thailand,L,2.8,6.9,4.8,13.9,16.7,3.9,19.8,84.8,88.3,44.1,20.3
